,Cliente,Chamadas,Minutagem,Custo
0,80322@sip.maximavoip.net,"('chamadas', True)",True,True
1,80323@sip.maximavoip.net,"('chamadas', True)",True,True
2,80324@sip.maximavoip.net,"('chamadas', None)",True,True
3,80325@sip.maximavoip.net,"('chamadas', None)",True,True
4,80326@sip.maximavoip.net,"('chamadas', None)",True,True
5,80327@sip.maximavoip.net,"('chamadas', True)",True,True
6,80328@sip.maximavoip.net,"('chamadas', None)",True,True
7,80329@sip.maximavoip.net,"('chamadas', True)",True,True
8,80330@sip.maximavoip.net,"('chamadas', True)",True,True
9,80331@sip.maximavoip.net,"('chamadas', True)",True,True
10,80332@sip.maximavoip.net,"('chamadas', True)",True,True
11,80342@sip.maximavoip.net,"('chamadas', True)",True,True
12,80343@sip.maximavoip.net,"('chamadas', None)",True,True
13,80344@sip.maximavoip.net,"('chamadas', None)",True,True
14,80345@sip.maximavoip.net,"('chamadas', None)",True,True
15,80346@sip.maximavoip.net,"('chamadas', None)",True,True
16,80347@sip.maximavoip.net,"('chamadas', True)",True,True
17,80348@sip.maximavoip.net,"('chamadas', None)",True,True
18,80349@sip.maximavoip.net,"('chamadas', None)",True,True
19,80350@sip.maximavoip.net,"('chamadas', True)",True,True
20,80351@sip.maximavoip.net,"('chamadas', True)",True,True
21,80359@sip.maximavoip.net,"('chamadas', None)",True,True
22,80362@sip.maximavoip.net,"('chamadas', True)",True,True
23,80365@sip.maximavoip.net,"('chamadas', None)",True,True
24,80366@sip.maximavoip.net,"('chamadas', True)",True,True
25,80367@sip.maximavoip.net,"('chamadas', True)",True,True
