cliente,Data,completas,recusadas,abandonadas,totais,agentes_validos
investmaiscontech.callix.com.br,2025-12-19,511,22939,9,23459,5
valmcontech.callix.com.br,2025-12-19,1710,46213,72,47995,17
moneysolutionscontech.callix.com.br,2025-12-19,39,1916,31,1986,1
essencecontech.callix.com.br,2025-12-19,908,26365,43,27316,5
corplarcontech.callix.com.br,2025-12-19,449,13861,92,14402,4
datateckcontech.callix.com.br,2025-12-19,412,13966,89,14467,4
rdfcontech.callix.com.br,2025-12-19,376,14305,17,14698,8
afsilvacontech.callix.com.br,2025-12-19,62,1449,23,1534,2
informacredcontech.callix.com.br,2025-12-19,210,5719,107,6036,2
connectioncontech.callix.com.br,2025-12-19,888,28984,75,29947,5
elloconsultoriacontech.callix.com.br,2025-12-19,0,0,0,0,0
qualitycontech.callix.com.br,2025-12-19,19,1181,4,1204,1
lunart3contech.callix.com.br,2025-12-19,81,3379,14,3474,1
