Data,cliente,Chamadas,minutagem,custo
29/11/2025,Investe Mais,0,3417.8,85.44
29/11/2025,Essence Multiserviços,0,3326.5,83.16
29/11/2025,Aplexx,0,0.0,0.0
29/11/2025,Coin,0,0.0,0.0
29/11/2025,Assis e Mollerke,0,0.0,0.0
29/11/2025,Quality Assessoria,0,3387.1,84.68
29/11/2025,Supermed,0,0.0,0.0
29/11/2025,V.A.L.M Soluções,0,10906.5,254.48
29/11/2025,AGS Telecom,619,953.4,23.84
29/11/2025,Stefany Oliveira,0,4.0,0.1
29/11/2025,Zen Seguros,0,371.8,9.12
29/11/2025,Recovery,0,1534.6,35.34
29/11/2025,Recomeçar,0,0.0,0.0
29/11/2025,Águia,0,0.0,0.0
29/11/2025,Dibrandes Soluções Financeiras,0,0.0,0.0
29/11/2025,Acprudente,0,0.0,0.0
29/11/2025,Dibrandes,0,84.4,2.11
29/11/2025,Milhões,0,0.0,0.0
29/11/2025,Den01 e Den02 (Facile),0,0.0,0.0
29/11/2025,P&P Financeira,0,214.2,5.18
29/11/2025,Clube Tecnologia,0,514.5,12.86
29/11/2025,TC Representacao,0,0.0,0.0
29/11/2025,THconsig,0,136.2,3.4
29/11/2025,Tóquio,0,0.0,0.0
29/11/2025,Iggo,0,1598.0,39.95
29/11/2025,RDF Consultoria,0,10213.8,255.34
29/11/2025,Gráfica Dois Irmãos,0,0.0,0.0
29/11/2025,Iron Assessoria,0,0.0,0.0
29/11/2025,Invest Mais (Facile),0,0.0,0.0
29/11/2025,RX Gestão Empresarial (Facile),0,0.0,0.0
29/11/2025,RSL Seguros,0,0.0,0.0
29/11/2025,Connection,0,0.0,0.0
29/11/2025,Informa Cred (Facile),0,0.0,0.0
29/11/2025,Fenice,0,0.0,0.0
29/11/2025,RC,0,0.0,0.0
29/11/2025,Francisco (Facile),0,0.0,0.0
29/11/2025,Will Cred (Facile),0,0.0,0.0
29/11/2025,CR Finanças,0,0.0,0.0
29/11/2025,Hayelli Consultoria e Venda,0,0.0,0.0
29/11/2025,Consultoria e Soluções Finance,0,0.0,0.0
29/11/2025,Intense Consultoria,0,0.0,0.0
29/11/2025,Luiz Gustavo,0,0.0,0.0
29/11/2025,Over,0,0.0,0.0
29/11/2025,L&A Finance,0,0.0,0.0
29/11/2025,Gab,0,0.0,0.0
29/11/2025,Ferreira,0,0.0,0.0
29/11/2025,Kleberson,0,0.0,0.0
29/11/2025,Avante,0,0.0,0.0
29/11/2025,Teste Contech,0,0.0,0.0
29/11/2025,Fênix Thaciene,0,0.0,0.0
29/11/2025,Cred Consig (Facile),0,0.0,0.0
